TICKS,CPU%,Memper%,Net_recv,Net_sent
1696848604.09,107.80,37.20,352.48,14.50
1696848605.59,111.80,37.20,352.48,14.50
1696848607.09,100.00,37.20,352.48,14.50
1696848608.60,106.30,36.90,352.48,14.50
1696848610.10,120.40,37.00,352.48,14.50
1696848611.60,104.10,37.00,352.48,14.50
1696848613.10,104.10,37.00,352.48,14.50
1696848614.61,110.40,37.00,352.48,14.50
1696848616.11,104.20,37.00,352.48,14.50
1696848617.61,106.10,37.00,352.48,14.50
1696848619.12,127.70,37.00,352.48,14.50
1696848620.62,104.30,37.00,352.48,14.50
1696848622.12,106.00,37.00,352.48,14.50
1696848623.62,106.10,37.00,352.48,14.50
1696848625.13,118.60,37.00,352.48,14.50
1696848626.63,107.80,37.00,352.48,14.50
1696848628.13,108.00,37.00,352.48,14.50
1696848629.63,112.50,37.00,352.48,14.50
1696848631.14,106.10,37.00,352.48,14.50
1696848632.64,108.00,37.00,352.48,14.50
1696848634.14,120.50,37.00,352.48,14.50
1696848635.64,8.00,37.40,352.48,14.50
1696848637.15,2.00,37.40,352.48,14.50
1696848638.65,2.00,37.40,352.48,14.50
1696848640.16,8.40,37.50,352.48,14.50
1696848641.66,5.90,37.30,352.48,14.50
1696848643.17,0.00,37.30,352.48,14.50
1696848644.67,11.90,37.40,352.48,14.50
1696848646.17,0.00,37.40,352.48,14.50
1696848647.68,4.00,37.40,352.48,14.50
