TICKS,Net_recv,Net_sent
1696848604.08,352.48,14.50
1696848605.08,352.48,14.50
1696848606.09,352.48,14.50
1696848607.09,352.48,14.50
1696848608.10,352.48,14.50
1696848609.10,352.48,14.50
1696848610.10,352.48,14.50
1696848611.10,352.48,14.50
1696848612.10,352.48,14.50
1696848613.10,352.48,14.50
1696848614.10,352.48,14.50
1696848615.10,352.48,14.50
1696848616.11,352.48,14.50
1696848617.11,352.48,14.50
1696848618.11,352.48,14.50
1696848619.11,352.48,14.50
1696848620.11,352.48,14.50
1696848621.11,352.48,14.50
1696848622.11,352.48,14.50
1696848623.11,352.48,14.50
1696848624.12,352.48,14.50
1696848625.12,352.48,14.50
1696848626.12,352.48,14.50
1696848627.12,352.48,14.50
1696848628.12,352.48,14.50
1696848629.12,352.48,14.50
1696848630.13,352.48,14.50
1696848631.13,352.48,14.50
1696848632.13,352.48,14.50
1696848633.13,352.48,14.50
1696848634.13,352.48,14.50
1696848635.13,352.48,14.50
1696848636.13,352.48,14.50
1696848637.13,352.48,14.50
1696848638.14,352.48,14.50
1696848639.14,352.48,14.50
1696848640.14,352.48,14.50
1696848641.14,352.48,14.50
1696848642.14,352.48,14.50
1696848643.14,352.48,14.50
1696848644.14,352.48,14.50
1696848645.14,352.48,14.50
1696848646.14,352.48,14.50
1696848647.15,352.48,14.50
1696848648.15,352.48,14.50
